name,J-1,J-2,J-3,J-4,J-5,J-6,J-7,J-8,J-9,J-10,J-11,J-12,J-13,J-14,J-15,J-16,J-17
G - Jonathan Javier Rodríguez,0,1,1,1,1,1,0,2,1,1
G - Ángel Israel Mena,2,1,1,1,0,0,0,0,2,1
G - André-pierre Christian Gignac,0,0,1,0,2,1,0,3,0,1
G - Leonardo Cecilio Fernández,0,1,0,2,0,1,0,1,1,2
G - Franco Daniel Jara,1,0,0,0,0,1,2,1,0,2
G - Dario Lezcano,0,2,1,1,0,0,0,1,0,1
G - Aldo Paúl Rocha,0,1,0,1,0,0,0,1,0,2
G - Ariel Gerardo Nahuelpan,0,1,0,1,1,2
G - Nicolás Alejandro Ibáñez,0,0,0,1,0,2,1,0,1
G - Mauro Daniel Quiroga,0,2,0,1,0,0,0,2
